,name,mass,radius,orbper
614,HD 208487 b,0.48,,129.97
615,HD 208527 b,9.9,,875.5
616,HD 20868 b,1.25,,380.85001
617,HD 208897 b,1.4,,352.7
618,HD 210193 b,0.4817,,649.918
619,HD 210277 b,1.236,,442.943
620,HD 210702 b,1.808,,354.1
621,HD 211403 b,5.54,,223.8
622,HD 211810 b,0.67,,1558.0
623,HD 211970 b,0.0409,,25.201
624,HD 212301 b,0.51,,2.24571
625,HD 212771 b,2.39,,380.7
626,HD 213240 b,5.58,,882.70001
627,HD 213472 b,3.5,,17000.0
628,HD 213519 b,0.02993,,11.12214173
629,HD 213885 b,0.02778,0.156,1.008035
630,HD 213885 c,0.06277,,4.78503
631,HD 21411 b,0.20734,,84.288
632,HD 215152 b,0.00572,,5.75999
633,HD 215152 c,0.00541,,7.28243
634,HD 215152 d,0.00881,,10.86499
635,HD 215152 e,0.00905,,25.1967
636,HD 215497 b,0.02,,3.93404
637,HD 215497 c,0.33,,567.94
638,HD 216435 b,1.26,,1311.0
639,HD 216437 b,2.223,,1334.28
640,HD 216520 b,0.0326,,35.466
641,HD 216520 c,0.0297,,154.43
642,HD 216536 b,1.05,,148.60001
643,HD 216770 b,0.57,,118.45
644,HD 21693 b,0.0259,,22.6786
645,HD 21693 c,0.0547,,53.7357
646,HD 217107 b,1.385,,7.1268744
647,HD 217107 c,4.31,,5141.0
648,HD 21749 c,0.01164,0.08,7.78993
649,HD 217786 c,0.02315,,2.52220686
650,HD 217958 b,0.5916,,2560.19774386
651,HD 218566 b,0.198,,225.17
652,HD 219077 b,9.75299,,5478.68860928
653,HD 219134 b,0.013,,3.092947
654,HD 219134 c,0.0112,,6.76406
655,HD 219134 d,0.0516,,46.734
656,HD 219134 f,0.0243,,22.7945
657,HD 219134 g,0.034,,94.2
658,HD 219134 h,0.308,,2104.0
659,HD 219139 b,0.78,,275.5
660,HD 219415 b,1.0,,2093.3
661,HD 219828 b,0.05962,,3.83482856
662,HD 220197 b,0.2,,1728.0
663,HD 220689 b,1.118,,2266.4
