,name,mass,radius,orbper
388,HATS-32 b,0.92,1.249,2.8126548
389,HATS-33 b,1.192,1.23,2.5495551
390,HATS-34 b,0.941,1.43,2.1061607
391,HATS-35 b,1.222,1.464,1.8209933
392,HATS-36 b,2.79,1.153,4.175186
393,HATS-37A b,0.099,0.606,4.3315366
394,HATS-38 b,0.074,0.614,4.375021
395,HATS-39 b,0.63,1.57,4.5776348
396,HATS-4 b,1.323,1.02,2.516729
397,HATS-40 b,1.59,1.58,3.2642736
398,HATS-41 b,9.7,1.33,4.193649
399,HATS-42 b,1.88,1.4,2.292102
400,HATS-43 b,0.261,1.18,4.3888497
401,HATS-44 b,0.56,1.067,2.7439004
402,HATS-45 b,0.7,1.286,4.1876244
403,HATS-46 b,0.173,0.903,4.7423729
404,HATS-47 b,0.369,1.117,3.9228038
405,HATS-48A b,0.243,0.8,3.1316666
406,HATS-49 b,0.353,0.765,4.1480467
407,HATS-5 b,0.237,0.912,4.763387
408,HATS-50 b,0.39,1.13,3.8297015
409,HATS-51 b,0.768,1.41,3.3488702
410,HATS-52 b,2.24,1.382,1.3665436
411,HATS-53 b,0.595,1.34,3.8537768
412,HATS-54 b,0.76,1.067,2.5441828
413,HATS-55 b,0.921,1.251,
414,HATS-56 b,0.602,1.688,4.324799
415,HATS-57 b,3.147,1.13,2.350621
416,HATS-58A b,1.03,1.095,4.2180896
417,HATS-59 b,0.806,1.126,5.416081
418,HATS-59 c,12.7,,1422.0
419,HATS-6 b,0.319,0.998,3.3252725
420,HATS-60 b,0.662,1.153,3.560829
421,HATS-61 b,3.4,1.195,7.817953
422,HATS-62 b,0.179,1.055,3.2768837
423,HATS-63 b,0.96,1.207,3.0566527
424,HATS-64 b,0.96,1.679,4.908897
425,HATS-65 b,0.821,1.501,3.105161
426,HATS-66 b,5.33,1.411,3.1414391
427,HATS-67 b,1.45,1.685,1.6091788
428,HATS-68 b,1.29,1.2321,3.5862202
429,HATS-69 b,0.577,0.945,2.2252577
430,HATS-7 b,0.12,0.563,3.185315
431,HATS-70 b,12.9,1.384,1.8882378
432,HATS-71A b,0.45,1.08,3.7955213
433,HATS-72 b,0.1254,0.7224,7.3279474
434,HATS-74A b,1.46,1.032,1.73185606
435,HATS-75 b,0.491,0.884,2.7886556
436,HATS-76 b,2.629,1.079,1.9416423
