solution_id,ra,dec,parallax,pm,pmra,pmdec,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,phot_variable_flag,l,b,non_single_star,has_rvs,teff_gspphot,logg_gspphot
1636148068921376768,67.21223971187007,16.288355807011353,20.898134172767946,111.94531,109.99610818061524,-20.799253009149773,22461.60612676187,14.808764,,,,,,,,,"NOT_AVAILABLE",180.02740499167385,-21.713760170542955,0,false,,
1636148068921376768,67.12038862642493,17.695791947186837,20.91843408231149,118.08237,109.48695047352118,-44.22729129657963,538013.1242949485,11.360385,137811.75359259936,12.490327,626758.7224516721,10.255144,2.2351828,1.1299419,1.1052408,32.13177,"NOT_AVAILABLE",178.7958704890246,-20.8939121525169,0,false,,
1636148068921376768,66.52038510826976,15.04079479058062,20.937514048406058,104.61259,101.4019876777807,-25.71827628057673,23001.94520488751,14.782955,,,,,,,,,"NOT_AVAILABLE",180.6258852431496,-23.01524067909073,0,false,,
1636148068921376768,67.96612153925633,15.851471350184573,21.00505488455235,105.25174,99.4956310598399,-34.32999088297088,8.005639966523321E7,5.928877,4.985934466237905E7,6.094176,4.4418406190655835E7,5.6289883,0.46518755,0.16529894,0.2998886,39.70209,"NOT_AVAILABLE",180.88062168462412,-21.420425504816617,0,false,6920.8877,4.0409
1636148068921376768,67.01839738870764,13.868048854275552,21.02113488986537,101.70883,100.60360410082912,-14.953317279596014,190445.05552229765,12.487943,,,,,,,,,"NOT_AVAILABLE",181.95086213572506,-23.368232958818776,0,false,,
1636148068921376768,65.68440170253284,15.056327740576604,21.026355477142264,104.52974,100.34236674943136,-29.289519804074057,8475853.067180939,8.366908,1.2157281389773495E7,7.626451,1.3648040848791424E7,6.9102197,0.71623135,-0.74045706,1.4566884,,"NOT_AVAILABLE",180.05876505538626,-23.632325193106205,0,false,,
1636148068921376768,67.81866462842426,15.00322280399349,21.05318989100504,103.16384,101.15523679833852,-20.258241111458684,6896.045348646298,16.090866,668.5152301069134,18.275764,10142.969123764842,14.732483,3.5432816,2.1848984,1.3583832,,"NOT_AVAILABLE",181.50287831725453,-22.057330893268592,0,false,,
1636148068921376768,64.22748221254695,16.356806031614795,21.063924177565333,118.0858,115.22802477350784,-25.821652377388492,99756.89532828909,13.190009,19979.73155844699,14.587069,122447.89332521842,12.028017,2.5590515,1.3970594,1.1619921,37.970898,"NOT_AVAILABLE",177.98588091991158,-23.87433581466256,0,true,,
1636148068921376768,68.66689038204488,15.208964911975178,21.07507415226267,109.21065,103.15688773254992,-35.85557174837498,451824.66007830075,11.549942,127013.11715069319,12.57892,505951.328041537,10.487623,2.0912971,1.0289783,1.0623188,42.245457,"NOT_AVAILABLE",181.87077173809723,-21.28527890157207,0,true,,
1636148068921376768,68.0336649745617,17.6643440638911,21.07527631220369,104.48503,99.88685030851735,-30.655151239656295,48207.441713459586,13.979582,8366.733023861249,15.532152,66254.66297711039,12.694855,2.8372974,1.5525703,1.2847271,35.646614,"NOT_AVAILABLE",179.4081670168627,-20.238553979221702,0,false,,
1636148068921376768,66.3729376285106,17.927768735352878,21.086509524006694,111.70367,107.31597291846634,-30.999864147519936,3.6031463763807607E8,4.295662,2.556528982040404E8,4.3194156,1.604957343677327E8,4.2342367,0.08517885,0.023753643,0.06142521,39.047356,"NOT_AVAILABLE",178.11817888311813,-21.294467541053464,0,false,,
1636148068921376768,65.15179237979066,15.095358731795551,21.089906328443735,110.490486,108.44328858667495,-21.170759592437236,1.5637787289656568E8,5.2019286,1.0195056113393319E8,5.3175683,7.91633170943097E7,5.0015855,0.31598282,0.11563969,0.20034313,40.06487,"NOT_AVAILABLE",179.66877277083157,-24.00477226639544,0,false,7562.439,3.9674
1636148068921376768,67.51380640413643,14.903572814981922,21.091518884547874,40.892624,-18.6839859974469,-36.3746533095047,397156.81104491564,11.689961,122577.28881133051,12.617517,403227.38790812035,10.73402,1.8834972,0.92755604,0.9559412,-21.631842,"VARIABLE",181.39057927079608,-22.350367776292874,0,false,,
1636148068921376768,65.22015770420096,13.864370841354328,21.09351261138683,107.59944,106.88260714504528,-12.399521780388248,7.173709667953369E7,6.0480075,4.244329582700583E7,6.2690196,4.269574162117652E7,5.671934,0.5970855,0.22101212,0.37607336,,"NOT_AVAILABLE",180.75995143918865,-24.73400762286722,0,false,6434.3804,3.9475
1636148068921376768,66.40598637273915,15.940907539697319,21.10764322783181,106.18896,102.95013743101791,-26.026211677014196,5.47393719721951E7,6.341617,3.214180765598899E7,6.5708666,3.377132327462994E7,5.926525,0.64434147,0.22924948,0.415092,,"NOT_AVAILABLE",179.79211784722816,-22.534233098097456,0,false,6228.145,4.1163
1636148068921376768,64.4656126372456,15.227063447450588,21.125368661812228,111.810974,109.65233201547665,-21.86460130676811,38694.21784369919,14.218251,6164.742253666121,15.863755,50844.58376066707,12.982284,2.8814716,1.645504,1.2359676,38.773235,"NOT_AVAILABLE",179.0930979325972,-24.429442342710626,0,false,,
